label,pattern,sublocation,count,country,interest_1,interest_2,indoor_outdoor,adjective,video_sentiment,comment_sentiment
FAC,djitsun mall bedok,djitsun mall bedok,,,shopping,,indoor,,,
FAC,don don donki,don don donki,,singapore,shopping,,indoor,,,
GPE,downtown east,downtown east,,,recreation,,outdoor,,,
ORG,ducktour,ducktour,,,tour,,outdoor,,,
FAC,duo,duo,,,shopping,,indoor,,,
FAC,duo galleria,duo galleria,,,shopping,,indoor,,,
FAC,east coast park,east coast park,,,park,,outdoor,,,
FAC,eastpoint mall,eastpoint mall,,,shopping,,indoor,,,
FAC,elias mall,elias mall,,,shopping,,indoor,,,
FAC,empress place,empress place,,,shopping,,indoor,,,
FAC,esplanade,esplanade,,,architecture,,indoor,,,
FAC,esplanade park,esplanade park,,,park,,outdoor,,,
ORG,ezlink,ezlink,,,transport,,indoor,,,
FAC,fairprice hub,fairprice hub,,,shopping,,indoor,,,
FAC,fajar shopping centre,fajar shopping centre,,,shopping,,indoor,,,
FAC,far east plaza,far east plaza,,,shopping,,indoor,,,
FAC,floral fantasy,floral fantasy,,singapore,nature,architecture,indoor,,,
FAC,flower dome,flower dome,,singapore,nature,architecture,indoor,,,
FAC,foo hai chan,foo hai chan,,,religion,,indoor,,,
FOOD,food,food,,,food and drinks,,indoor,,,
FAC,food court,food court,,,food and drinks,,indoor,,,
FAC,food hall,hawker centre,,,food and drinks,,indoor,,,
FAC,fort canning,fort canning,,singapore,park,heritage,outdoor,,,
FAC,fort canning park,fort canning park,,,park,heritage,outdoor,,,
FAC,fort siloso,fort siloso,,,park,heritage,outdoor,,,
FAC,fountain of wealth,fountain of wealth,,,architecture,,outdoor,,,
WORK_OF_ART,fountain show,fountain show,,singapore,art,,outdoor,,,
FAC,fuk tak chi museum,fuk tak chi museum,,,museum,,indoor,,,
FAC,funan,funan,,,shopping,,indoor,,,
WORK_OF_ART,future world,future world exhibition,,singapore,art,,indoor,,,
WORK_OF_ART,future world exhibition,future world exhibition,,singapore,art,,indoor,,,
FAC,garden by the bay,garden by the bay,,singapore,nature,architecture,outdoor,,,
WORK_OF_ART,garden rhapsody,garden rhapsody,,,art,,outdoor,,,
FAC,gardens by the bay,gardens by the bay,,,nature,architecture,outdoor,,,
FAC,gek poh shopping centre,gek poh shopping centre,,,shopping,,indoor,,,
FAC,geylang canal,geylang canal,,,nature,architecture,outdoor,,,
GPE,geylang river,geylang river,,,nature,architecture,outdoor,,,
FAC,gin distillery,gin distillery,,,recreation,,indoor,,,
FAC,grantral mall,grantral mall,,,shopping,,indoor,,,
FAC,great world city,great world city,,,shopping,,indoor,,,
FAC,greenridge shopping centre,greenridge shopping centre,,,shopping,,indoor,,,
FAC,greenwich v,greenwich v,,,shopping,,indoor,,,
GPE,haji lane,haji lane,,singapore,culture,,outdoor,,,
FAC,harbourfront centre,harbourfront centre,,,shopping,,indoor,,,
FAC,haw par villa,haw par villa,,,park,heritage,outdoor,,,
FAC,hawker market,hawker market,,,food and drinks,,indoor,,,
FAC,hawker center,hawker centre,,singapore,food and drinks,,indoor,,,
FAC,hawker centre,hawker centre,,singapore,food and drinks,,indoor,,,
FAC,hdb hub,hdb hub,,,shopping,,indoor,,,
FAC,heartland mall,heartland mall,,,shopping,,indoor,,,
FAC,helix bridge,helix bridge,,singapore,architecture,,outdoor,,,
FAC,hillion mall,hillion mall,,,shopping,,indoor,,,
FAC,hillv2,hillv2,,,shopping,,indoor,,,
FAC,hindhede nature park,hindhede nature park,,,park,,outdoor,,,
FAC,holland village shopping mall,holland village shopping mall,,,shopping,,indoor,,,
FAC,hong lim park,hong lim park,,,shopping,,indoor,,,
FAC,hong san see,hong san see,,,religion,,indoor,,,
FAC,hortpark,hortpark,,,nature,,outdoor,,,
FAC,hougang 1,hougang 1,,,shopping,,indoor,,,
FAC,hougang green shopping mall,hougang green shopping mall,,,shopping,,indoor,,,
FAC,hougang mall,hougang mall,,,shopping,,indoor,,,
FAC,house of tan yeok nee,house of tan yeok nee,,,historic,architecture,indoor,,,
FAC,i12 katong,i12 katong,,,shopping,,indoor,,,
FAC,images of singapore,images of singapore,,,museum,heritage,indoor,,,
FAC,imm,imm,,,shopping,,indoor,,,
FAC,indian heritage centre,indian heritage centre,,,heritage,museum,indoor,,,
FAC,indoor stadium,indoor stadium,,,recreation,architecture,indoor,,,
FAC,ion orchard,ion orchard,,,shopping,,indoor,,,
FAC,istana park,istana park,,,park,,outdoor,,,
FAC,japanese cemetery park,japanese cemetery park,,,park,,outdoor,,,
FAC,japanese garden,japanese garden,,,park,,outdoor,,,
FAC,jcu museum of video and computer games,jcu museum of video and computer games,,,museum,,indoor,,,
FAC,jcube,jcube,,,shopping,,indoor,,,
FAC,jem,jem,,,shopping,,indoor,,,
FAC,jewel,jewel changi,,,shopping,,indoor,,,
FAC,jewel changi,jewel changi,,singapore,shopping,,indoor,,,
FAC,jewel changi airport,jewel changi airport,,,shopping,,indoor,,,
LOC,jewel fountain,jewel waterfall,,singapore,architecture,nature,indoor,,,
LOC,jewel waterfall,jewel waterfall,,singapore,architecture,nature,indoor,,,
GPE,joo chiat,joo chiat,,singapore,heritage,culture,outdoor,,,
FAC,jubilee square,jubilee square,,,shopping,,indoor,,,
FAC,junction 10,junction 10,,,shopping,,indoor,,,
FAC,junction 8,junction 8,,,shopping,,indoor,,,
FAC,junction nine,junction nine,,,shopping,,indoor,,,
FAC,jurong central park,jurong central park,,,park,,outdoor,,,
GPE,jurong island,jurong island,West Region,32,nature,,outdoor,,,
FAC,jurong point,jurong point,,,shopping,,indoor,,,
GPE,kallang river,kallang river,,,nature,,outdoor,,,
FAC,kallang riverside park,kallang riverside park,,,nature,,outdoor,,,
FAC,kallang wave mall,kallang wave mall,,,shopping,,indoor,,,
LOC,kampong glam,kampong glam,,singapore,culture,,outdoor,,,
LOC,kampung glam,kampong glam,,singapore,culture,,outdoor,,,
FAC,katong shopping centre,katong shopping centre,,,shopping,,indoor,,,
FAC,katong square,katong square,,,shopping,,indoor,,,
FOOD,kaya toast,kaya toast,,,food and drinks,,indoor,,,
FAC,keat hong shopping centre,keat hong shopping centre,,,shopping,,indoor,,,
FAC,kent ridge park,kent ridge park,,,park,,outdoor,,,
FAC,ketam mountain bike park,ketam mountain bike park,,,park,,outdoor,,,
FAC,kinex,kinex,,,shopping,,indoor,,,
FAC,knightsbridge,knightsbridge,,,shopping,,indoor,,,
FAC,koma,koma,,,food and drinks,,indoor,,,
FAC,kong meng san phor kark see monastery,kong meng san phor kark see monastery,,,religion,,indoor,,,
GPE,kranji marshes,kranji marshes,,,nature,,outdoor,,,
FAC,kranji reservoir park,kranji reservoir park,,,nature,,outdoor,,,
FAC,kwan im thong hood cho,kwan im thong hood cho,,,religion,,indoor,,,
FAC,labrador nature reserve,labrador nature reserve,,,nature,,outdoor,,,
FAC,labrador park,labrador park,,,nature,,outdoor,,,
FAC,lake garden,lake garden,,,nature,,outdoor,,,
FAC,lantern,lantern,,singapore,food and drinks,,indoor,,,
LOC,largest indoor waterfall,jewel waterfall,,singapore,architecture,nature,indoor,,,
FAC,lau pa sit,lau pa sat,,,food and drinks,,indoor,,,
FAC,lavo,lavo,,,food and drinks,,indoor,,,
GPE,lazarus island,lazarus island,,,nature,,outdoor,,,
GPE,lazarus,lazarus,,,nature,,outdoor,,,
FAC,lee kong chian natural history museum,lee kong chian natural history museum,,,museum,,indoor,,,
FAC,leisure park kallang,leisure park kallang,,,recreation,,outdoor,,,
FAC,level 33,level 33,,singapore,food and drinks,,indoor,,,
FAC,level33,level 33,,singapore,food and drinks,,indoor,,,
FAC,lian shan shuang lin,lian shan shuang lin,,,religion,,indoor,,,
FAC,liat towers,liat towers,,,shopping,,indoor,,,
FAC,library orchard,library orchard,,,recreation,,indoor,,,
WORK_OF_ART,light show,light show,,singapore,art,,outdoor,,,
FAC,lighthouse,lighthouse,,,architecture,nature,outdoor,,,
FAC,limbang shopping centre,limbang shopping centre,,,shopping,,indoor,,,
LOC,little india,little india,,singapore,culture,,outdoor,,,
FAC,long bar,long bar,,singapore,food and drinks,,indoor,,,
FAC,lot one,lot one,,,shopping,,indoor,,,
FAC,lower seletar reservoir park,lower seletar reservoir park,,,park,,outdoor,,,
FAC,loyang point,loyang point,,,shopping,,indoor,,,
FAC,lucky plaza,lucky plaza,,,shopping,,indoor,,,
FAC,macritchie reservoir,macritchie reservoir,,singapore,nature,,outdoor,,,
FAC,macritchie reservoir park,macritchie reservoir park,,,nature,,outdoor,,,
FAC,macritchie treetop walk,macritchie treetop walk,,singapore,nature,architecture,outdoor,,,
FAC,madame tussauds singapore,madame tussauds singapore,,,museum,,indoor,,,
FAC,maghain aboth synagogue,maghain aboth synagogue,,,religion,,indoor,,,
FAC,malay heritage centre,malay heritage centre,,,heritage,,indoor,,,
FAC,marina barrage,marina barrage,,singapore,nature,recreation,outdoor,,,
FAC,marina bay,shoppe at marina bay sand,,,shopping,,indoor,,,
FAC,marina bay link mall,marina bay link mall,,,shopping,,indoor,,,
FAC,marina bay sand,shoppe at marina bay sand,,,shopping,,indoor,,,
FAC,marina bay sands,marina bay sands,,,shopping,,indoor,,,
FAC,marina square,marina square,,,shopping,,indoor,,,
FAC,maritime experiential museum & aquarium,maritime experiential museum & aquarium,,,museum,wildlife park,indoor,,,
FAC,marsiling mall,marsiling mall,,,shopping,,indoor,,,
FAC,marsiling park,marsiling park,,,park,,outdoor,,,
FAC,masjid jamae,chulia mosque,,,religion,,indoor,,,
