label,pattern,sublocation,count,country,interest_1,interest_2,indoor_outdoor,adjective,video_sentiment,comment_sentiment
FAC,sultan mosque,sultan mosque,,singapore,religion,,indoor,,,
FAC,sultan shoal,sultan shoal,West Region,0.006,architecture,nature,outdoor,,,
FAC,sun plaza,sun plaza,,,shopping,,indoor,,,
FAC,sun plaza park,sun plaza park,,,park,recreation,indoor,,,
FAC,sun yat sen nanyang memorial,sun yat sen nanyang memorial,,,museum,,indoor,,,
GPE,sungei buloh wetland reserve,sungei buloh wetland reserve,,,nature,,outdoor,,,
FAC,sunshine place,sunshine place,,,shopping,,indoor,,,
FAC,sunshine plaza,sunshine plaza,,,shopping,,indoor,,,
FAC,suntec city,suntec city,,,shopping,,indoor,,,
FAC,supertree grove,supertree grove,,singapore,nature,architecture,outdoor,,,
FAC,taman jurong shopping centre,taman jurong shopping centre,,,shopping,,indoor,,,
FAC,tampines 1,tampines 1,,,shopping,,indoor,,,
FAC,tampines eco green,tampines eco green,,,nature,,outdoor,,,
FAC,tampines mall,tampines mall,,,shopping,,indoor,,,
FAC,tan si chong su,tan si chong su,,,religion,,indoor,,,
GPE,tanglin,tanglin,,,heritage,,outdoor,,,
FAC,tanglin mall,tanglin mall,,,shopping,,indoor,,,
GPE,tanjong pagar,tanjong pagar,,singapore,heritage,,outdoor,,,
FAC,tanjong pagar centre,tanjong pagar centre,,,shopping,,indoor,,,
FAC,tanjong pagar park,tanjong pagar park,,,park,,outdoor,,,
FAC,teck whye shopping centre,teck whye shopping centre,,,shopping,,indoor,,,
FAC,tekka centre,tekka centre,,,shopping,,indoor,,,
FAC,telok blangah hill park,telok blangah hill park,,,park,,outdoor,,,
FAC,terminal 4,terminal 4,,,shopping,service,indoor,,,
FAC,the adelphi,the adelphi,,,shopping,,indoor,,,
FAC,the battle box,the battle box,,,heritage,architecture,indoor,,,
FAC,the centrepoint,the centrepoint,,,shopping,,indoor,,,
FAC,the clementi mall,the clementi mall,,,shopping,,indoor,,,
FAC,the gem museum,the gem museum,,,museum,,indoor,,,
FAC,the intan,the intan,,,museum,,indoor,,,
FAC,the paragon,the paragon,,,shopping,,indoor,,,
FAC,the poiz,the poiz,,,shopping,,indoor,,,
FAC,the republic of singapore navy museum,the republic of singapore navy museum,,,museum,,indoor,,,
FAC,the seletar mall,the seletar mall,,,shopping,,indoor,,,
FAC,the south beach,the south beach,,,recreation,,outdoor,,,
FAC,the southern ridges,the southern ridges,,,nature,park,outdoor,,,
FAC,the star vista,the star vista,,,shopping,,indoor,,,
FAC,theatre on the bay,esplanade,,,architecture,shopping,indoor,,,
FAC,thian hock keng,thian hock keng,,,religion,architecture,indoor,,,
FAC,thomson plaza,thomson plaza,,,shopping,,indoor,,,
FAC,thomson v,thomson v,,,shopping,,indoor,,,
FAC,tiong bahru park,tiong bahru park,,,park,,outdoor,,,
FAC,tiong bahru plaza,tiong bahru plaza,,,shopping,,indoor,,,
FAC,toa payoh town park,toa payoh town park,,,park,,outdoor,,,
FAC,tool of old singapore museum,tool of old singapore museum,,,museum,heritage,indoor,,,
FAC,treetop,treetop,,singapore,nature,architecture,outdoor,,,
FAC,trick eye museum,trick eye museum,,,museum,art,indoor,,,
FAC,united square,united square,,,shopping,,indoor,,,
FAC,universal studio,universal studio,,singapore,amusement park,,outdoor,,,
FAC,upper peirce reservoir park,upper peirce reservoir park,,,park,nature,outdoor,,,
FAC,upper seletar reservoir,upper seletar reservoir,,,park,nature,outdoor,,,
FAC,upper serangoon shopping centre,upper serangoon shopping centre,,,shopping,,indoor,,,
FAC,ura city gallery,ura city gallery,,,museum,,indoor,,,
FAC,velocity,velocity novena square,,,shopping,,indoor,,,
FAC,velocity novena square,velocity novena square,,,shopping,,indoor,,,
FAC,victoria concert hall,victoria concert hall,,,art,architecture,indoor,,,
FAC,victoria theatre,victoria concert hall,,,art,architecture,indoor,,,
FAC,vintage camera museum,vintage camera museum,,,museum,historic,indoor,,,
GPE,violin island,violin island,,,nature,,outdoor,,,
FAC,vista point,vista point,,,shopping,,indoor,,,
FAC,vivo city,vivocity,,singapore,shopping,,indoor,,,
FAC,vivocity,vivocity,,singapore,shopping,,indoor,,,
LOC,vortex,jewel waterfall,,,architecture,nature,indoor,,,
FOOD,wanton noodle,wanton noodle,,,food and drinks,,indoor,,,
FAC,war memorial park,war memorial park,,singapore,historic,,outdoor,,,
FAC,wat ananda metyarama,wat ananda metyarama,,,religion,,indoor,,,
FAC,waterboat house garden,waterboat house garden,,,park,,outdoor,,,
FAC,waterway point,waterway point,,,shopping,,indoor,,,
FAC,west coast park,west coast park,,,park,nature,outdoor,,,
FAC,west coast plaza,west coast plaza,,,shopping,,indoor,,,
FAC,west mall,west mall,,,shopping,,indoor,,,
FAC,westgate,westgate,,,shopping,,indoor,,,
FAC,wheelock place,wheelock place,,,shopping,,indoor,,,
FAC,white sands,white sands,,,shopping,,indoor,,,
FAC,wild wild wet,wild wild wet,,,amusement park,,outdoor,,,
FAC,wisma atria,wisma atria,,,shopping,,indoor,,,
FAC,wisteria mall,wisteria mall,,,shopping,,indoor,,,
ORG,woodlands civic centre,woodlands civic centre,,,service,,indoor,,,
FAC,woodlands mart,woodlands mart,,,shopping,,indoor,,,
FAC,woodlands north plaza,woodlands north plaza,,,shopping,,indoor,,,
FAC,woodlands waterfront park,woodlands waterfront park,,,park,,outdoor,,,
FAC,yew tee point,yew tee point,,,shopping,,indoor,,,
FAC,yew tee square,yew tee square,,,shopping,,indoor,,,
FAC,yishun neighbourhood park,yishun neighbourhood park,,,park,,outdoor,,,
FAC,yishun park,yishun park,,,park,,outdoor,,,
FAC,yishun pond park,yishun pond park,,,park,,outdoor,,,
FAC,youth olympic park,youth olympic park,,,park,,outdoor,,,
FAC,yueh hai ching,yueh hai ching,,,religion,,indoor,,,
FAC,zhenghua park,zhenghua park,,,shopping,,indoor,,,
FAC,zhongshan mall,zhongshan mall,,,shopping,,indoor,,,
