id,url,handle,comment_count,comment
0_cmt,https://www.tiktok.com/@montanadarby/video/7232388092764671258,montanadarby,208,Yeah that's all in two days 😂
0_cmt,https://www.tiktok.com/@montanadarby/video/7232388092764671258,montanadarby,208,@( •̀∀•́ ) sis sa airport pa lang us2 q mag vlog
0_cmt,https://www.tiktok.com/@montanadarby/video/7232388092764671258,montanadarby,208,@G rencanain aja dulu wkwkw
0_cmt,https://www.tiktok.com/@montanadarby/video/7232388092764671258,montanadarby,208,@muhammadizzarief kita pegi sini nnti
0_cmt,https://www.tiktok.com/@montanadarby/video/7232388092764671258,montanadarby,208,Mem @KaFherry Good
0_cmt,https://www.tiktok.com/@montanadarby/video/7232388092764671258,montanadarby,208,Ma @Gelyn Rosel
0_cmt,https://www.tiktok.com/@montanadarby/video/7232388092764671258,montanadarby,208,How do you get around as transportation?
0_cmt,https://www.tiktok.com/@montanadarby/video/7232388092764671258,montanadarby,208,Can you make itenary for holiday with toddler? Thank you..
0_cmt,https://www.tiktok.com/@montanadarby/video/7232388092764671258,montanadarby,208,Nice song choice 😁
0_cmt,https://www.tiktok.com/@montanadarby/video/7232388092764671258,montanadarby,208,@Chelsea first 2 days
0_cmt,https://www.tiktok.com/@montanadarby/video/7232388092764671258,montanadarby,208,Sounds like the best 48 hours ever 🫶🏼🫶🏼🫶🏼
0_cmt,https://www.tiktok.com/@montanadarby/video/7232388092764671258,montanadarby,208,Just wondering wear the place is from the clip of the lily pads at the start of the video?
0_cmt,https://www.tiktok.com/@montanadarby/video/7232388092764671258,montanadarby,208,@Louis Jackson
0_cmt,https://www.tiktok.com/@montanadarby/video/7232388092764671258,montanadarby,208,@Kerryyyyyy @Kirsty
0_cmt,https://www.tiktok.com/@montanadarby/video/7232388092764671258,montanadarby,208,@Row
0_cmt,https://www.tiktok.com/@montanadarby/video/7232388092764671258,montanadarby,208,@Adie’s RC Cars
0_cmt,https://www.tiktok.com/@montanadarby/video/7232388092764671258,montanadarby,208,@🌹mae
0_cmt,https://www.tiktok.com/@montanadarby/video/7232388092764671258,montanadarby,208,@jckxbxpa @raeeech
0_cmt,https://www.tiktok.com/@montanadarby/video/7232388092764671258,montanadarby,208,@squillymorrison
0_cmt,https://www.tiktok.com/@montanadarby/video/7232388092764671258,montanadarby,208,@Just me🌺
0_cmt,https://www.tiktok.com/@montanadarby/video/7232388092764671258,montanadarby,208,@Laine Andrie ▪️ UGC
0_cmt,https://www.tiktok.com/@montanadarby/video/7232388092764671258,montanadarby,208,@Nidhogg9669 @shalaniperera888
0_cmt,https://www.tiktok.com/@montanadarby/video/7232388092764671258,montanadarby,208,@lara_bussell
0_cmt,https://www.tiktok.com/@montanadarby/video/7232388092764671258,montanadarby,208,@janice.says.hi
0_cmt,https://www.tiktok.com/@montanadarby/video/7232388092764671258,montanadarby,208,@zarah (Taylor's version)
0_cmt,https://www.tiktok.com/@montanadarby/video/7232388092764671258,montanadarby,208,@blittyyy
