id,url,account_name,following_count,follower_count,total_like_count,date,href,handle,description,hashtag,like_count,bookmark_count,share_count,comment_count
322_post,https://www.tiktok.com/@sunbeamcass/video/7208021664704023810,sunbeamcass,90,861,24.6K,2023-3-8,/@sunbeamcass,sunbeamcass,My top cafe picks in JB that serve really yummy and value-for-money food and drinks! Located within 10 mins drive  from JB customs :) ,"['sgfoodie', 'sgwheretogo', 'jb', 'foodie', 'johorbahru', 'jbcafehopping', 'jbcafes', 'jbfood', 'jbfoodie', 'foodtiktok', 'sgtiktok', 'fyp', 'foryou', 'foryoupage', 'trending', 'viral', 'traveltiktok', 'travelguide', 'singaporetiktok', 'malaysiatiktok', 'jbtiktok', 'sgtojb🇸🇬🇲🇾', 'sgfyp']",7468,6576,2942,34
323_post,https://www.tiktok.com/@andsheblooms/video/7171323444523584795,Shifa’s Journey ✈️🌎,42,54.2K,1M,2022-11-29,/@andsheblooms,andsheblooms,Replying to ,"['singaporetravel', 'solotravel', 'solotrip', 'traveltiktok', 'singaporevlog']",2652,1324,97,44
324_post,https://www.tiktok.com/@reseaseo/video/7114092566483602715,Therese A.,78,370,11.2K,2022-6-28,/@reseaseo,reseaseo,"Tara, SG! 🇸🇬 ","['singapore', 'filipino', 'pinoy', 'pinay', 'fyp', 'wheninmanila', 'travel', 'filipina', 'changiairport', 'naia', 'revengetravel']",5040,1131,1096,161
325_post,https://www.tiktok.com/@marifranceri/video/7217713079260335366,MARI FRANCERI 🐇,136,77.3K,951.4K,2023-4-3,/@marifranceri,marifranceri,places to go in singapore: national gallery museum! entrance fee & directions in the video 🖼️ ,"['singapore', 'museum', 'art', 'edutok', 'tiktoksg', 'travel', 'traveltok', 'nationalgallerysingapore', 'travellife', 'sg', 'fyp', 'foryou', 'singaporetravel2023', 'singaporeplacestogo', 'singaporeoutfits', 'singaporetravelrequirements', 'singaporeeats', 'travelvlog', 'singapore', 'sgtiktok', 'vlog', 'brightstarhotel', 'budgethotel', 'budgetsingapore', 'airbnb', 'travel', 'sg', 'travelbudget', 'budgettravel', 'traveltips', 'hajilane', 'arabst', 'haji', 'fyp', 'foryou', 'jetstar']",429,259,54,12
326_post,https://www.tiktok.com/@nuvegroup/video/7236739916888034562,NuVe Group,8,533,6891,2023-5-24,/@nuvegroup,nuvegroup,Book direct on our website to celebrate your special occasion with us! 🎉,"['hotelnuveheritage', 'nuvegroup', 'travel', 'traveltok', 'exploresingapore', 'visitsingapore', 'discoversingapore', 'singapore', 'sg', 'hotelsg', 'fyp', 'tiktoksg']",1264,362,115,7
327_post,https://www.tiktok.com/@earthexplored/video/7026256328561609990,Earth Explored,141,83.4K,2.9M,2021-11-3,/@earthexplored,earthexplored,Singapore is AMAZING 🤩 Worth more than just a layover 👀 ,"['travel', 'singapore', 'traveltiktok', 'fyp', 'gardensbythebay', 'marinabaysands', 'top5', 'wanderlust']",1515,700,240,7
328_post,https://www.tiktok.com/@emceeanandk/video/7239529298590223634,emceeanandk 🧿,622,1101,18.5K,2023-6-1,/@emceeanandk,emceeanandk,Maha Kumbabishegam 2023!,"['kumbabishegam', 'murugan', 'lordmurugan', 'singapore', 'beautiful', 'tankroad', 'culture', 'indianculture', 'positivevibes', 'videography', 'travel', 'viralindian', 'festival', 'trendingtiktokviral', 'trending', 'fyp', 'fyppage', 'hindu']",1882,69,412,24
329_post,https://www.tiktok.com/@henryhaydi/video/7250086647034023173,✈️🍔Lăn cùng Ry🍭✈️,7,647.5K,6M,2023-6-29,/@henryhaydi,henryhaydi,"Ngày 3 khám phá hết mọi ngóc ngách của Singapore, nhớ ghé khu China Town và Tanjong Pagar nha mọi người, siêu đẹp lungggg 🇸🇬🇸🇬🇸🇬","['singapore', 'chinatown', 'tanjongpagar', 'travel', 'dulichsingapore', 'dulich', 'singaporetiktok', 'learnontiktok', 'ancungtiktok', 'visitsingapore', '🇸🇬']",28.6K,1169,478,126
330_post,https://www.tiktok.com/@q00kies/video/7246349504591580434,qilaa ( ᵔ︡ - ᵔ︠ ),168,345,101.6K,2023-6-19,/@q00kies,q00kies,this is a sign for you to go for singapore day trip with your frens 🫢 ,"['fyp', 'fypシ', 'singapore', 'singaporedaytrip', 'tiktoktravel']",4668,1060,117,67
331_post,https://www.tiktok.com/@corrainespov/video/7219223322737839386,CORRAINE5OFF | KLOOK DISCOUNT,134,606,25.6K,2023-4-7,/@corrainespov,corrainespov,Travel Hacks I wish I knew before going to Singapore in 2023!,"['traveltok', 'traveltiktok', 'fyp', 'fyppppppppppppppppppppppp', 'fypage', 'singaporetiktok', 'travelhacks', 'travelhack', 'traveltips', 'traveldiaries', 'sgfyp', 'pinaytraveler', 'travelingtosg', 'foryou', 'pinaytiktokers🇵🇭']",2217,1719,201,47
332_post,https://www.tiktok.com/@abunawas.travel/video/7247119944385727750,Abunawas.travel,13,12.5K,74.3K,2023-6-21,/@abunawas.travel,abunawas.travel,Yess Akhirnya Update video group ke 87,"['abunawastravel', 'abunawas', 'abunawastravel2022', 'abunawastravel2023', 'tourtiganegara', 'tourtiganegaramurah', 'trip3negara', 'trip3negaramurah', 'trip3negarapromo', 'tour3negara', 'tour3negaramurah', 'tourhalal', 'tourasia', 'tourmalaysiasingapore']",3843,1,36,20
333_post,https://www.tiktok.com/@hilmzeats/video/7253681428335004929,Hilmz | Hotel & Food,191,19.9K,645.9K,5d ago ,/@hilmzeats,hilmzeats,Replying to ,"['traveltok', 'sgtravel', 'exploremalaysia', 'travelmalaysia', 'kualalumpur', 'singaporetomalaysia', 'sgtiktok']",704,134,60,7
334_post,https://www.tiktok.com/@fortress3091/video/7171927540385221890,jayjay,2699,1358,3975,2022-11-30,/@fortress3091,fortress3091,Planning to visit Singapore? It's always better to be over prepared than under prepared.,"['singaporetravel2022', 'singapore', 'singaporetravel', 'travelrequirements🇵🇭', 'philippinestosingapore']",91,27,19,44
335_post,https://www.tiktok.com/@aarivu90/video/7244145949004549378,அ.அறிவழகன்,9846,18.2K,551.8K,2023-6-13,/@aarivu90,aarivu90,% ,"['100', '100k', '100', 'true', 'trending', 'trend', 'travel', 'malaysia', 'truestory', 'tamil', 'speak', 'tamilspeech', 'speech', 'india', 'singapore', 'cwc', 'cookwithcomali', 'vijaytv', 'sivangi', 'free', 'time']",8030,707,86,107
336_post,https://www.tiktok.com/@gr3atdna/video/7235666452894797057,dee,124,8832,210.4K,2023-5-21,/@gr3atdna,gr3atdna,Singapore day trip 🇸🇬,"['minivlogtravelling', 'tripwithfriends']",9059,1145,228,70
337_post,https://www.tiktok.com/@ye_.n/video/7210812468321340690,Yein🐰,68,1098,533K,2023-3-15,/@ye_.n,ye_.n,So used to travel to different countries with my Visa-free Singapore passport only to panic realising that I have to do this before my flight in less than 48 hours! Don’t be like me! Thank god my application was approved fast! ,"['fyp', 'korea', 'koreatravel', 'koreatrip', 'koreantiktok']",803,452,100,18
338_post,https://www.tiktok.com/@leachan7/video/7205931114995666177,Lea_Chan,40,150.6K,3.2M,2023-3-2,/@leachan7,leachan7,មកលេង Singapore ហូបមីពងទាប្រៃល្បីប្រចាំប្រទេសសឹង្ហបុរី​ឆ្ងាញ់ដល់ថ្នាក់ហ្នឹង?? 😳🍝,"['singapore', 'besoma', 'travel', 'food', 'noodle', '7eleven', 'fyp', 'foryoupage', 'cambodia', 'explore']",24.4K,1150,100,26
